circuit_type,circuit_name,num_inputs,num_gates,num_clauses,satisfiable,runtime_ms,memory_usage_mb,timestamp,lbv_rounds,metadata,solver_output,error
target_and,TargetAND_m4,4,7,20,False,1193.3112144470215,0.0,2026-07-08 08:21:33,3,"{'m': 4, 'lbv_rounds': 3, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False}'}",,
target_and,TargetAND_m6,6,11,32,False,1144.4427967071533,0.0,2026-07-08 08:21:34,3,"{'m': 6, 'lbv_rounds': 3, 'satisfying_assignment': '{0: False, 1: True, 2: True, 3: False, 4: False, 5: False}'}",,
target_and,TargetAND_m8,8,15,44,False,1124.070644378662,0.0,2026-07-08 08:21:36,4,"{'m': 8, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False}'}",,
target_and,TargetAND_m10,10,19,56,False,1113.8238906860352,0.0,2026-07-08 08:21:37,4,"{'m': 10, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: False}'}",,
target_and,TargetAND_m12,12,23,68,False,1103.196382522583,0.0,2026-07-08 08:21:38,4,"{'m': 12, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False}'}",,
target_and,TargetAND_m14,14,27,80,False,1105.1840782165527,0.0,2026-07-08 08:21:39,4,"{'m': 14, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: False, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False}'}",,
target_and,TargetAND_m16,16,31,92,False,1113.2252216339111,0.0,2026-07-08 08:21:40,5,"{'m': 16, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False}'}",,
target_and,TargetAND_m18,18,35,104,False,1118.3013916015625,0.0,2026-07-08 08:21:41,5,"{'m': 18, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False}'}",,
target_and,TargetAND_m20,20,39,116,False,1138.7715339660645,0.0,2026-07-08 08:21:42,5,"{'m': 20, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False}'}",,
target_and_random,TargetAND_m10_d1,10,27,91,False,1112.382411956787,0.0,2026-07-08 08:21:43,4,"{'m': 10, 'depth': 1, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d2,10,30,104,False,1113.6629581451416,0.0,2026-07-08 08:21:44,4,"{'m': 10, 'depth': 2, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d3,10,33,117,False,1115.2100563049316,0.0,2026-07-08 08:21:46,4,"{'m': 10, 'depth': 3, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d4,10,35,127,False,1114.436149597168,0.0,2026-07-08 08:21:47,4,"{'m': 10, 'depth': 4, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d5,10,38,139,False,1112.381935119629,0.0,2026-07-08 08:21:48,4,"{'m': 10, 'depth': 5, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d6,10,40,149,False,1111.1268997192383,0.0,2026-07-08 08:21:49,4,"{'m': 10, 'depth': 6, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d7,10,42,157,False,1140.9282684326172,0.0,2026-07-08 08:21:50,4,"{'m': 10, 'depth': 7, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d8,10,44,165,False,1112.4892234802246,0.0,2026-07-08 08:21:51,4,"{'m': 10, 'depth': 8, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d9,10,47,177,False,1089.6258354187012,0.0,2026-07-08 08:21:52,4,"{'m': 10, 'depth': 9, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d10,10,49,185,False,1111.6514205932617,0.0,2026-07-08 08:21:53,4,"{'m': 10, 'depth': 10, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d11,10,52,197,False,1110.7916831970215,0.0,2026-07-08 08:21:54,4,"{'m': 10, 'depth': 11, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d12,10,54,206,False,1126.720905303955,0.0,2026-07-08 08:21:56,4,"{'m': 10, 'depth': 12, 'lbv_rounds': 4}",,
iscas85,c17,5,5,20,False,1113.9636039733887,0.0,2026-07-08 08:21:57,,"{'benchmark': ""ISCAS'85"", 'name': 'c17', 'inputs': 5}",,
target_and,TargetAND_m4,4,7,20,False,1142.155647277832,0.0,2026-07-08 08:21:58,3,"{'m': 4, 'lbv_rounds': 3, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False}'}",,
target_and,TargetAND_m6,6,11,32,False,1112.5168800354004,0.0,2026-07-08 08:21:59,3,"{'m': 6, 'lbv_rounds': 3, 'satisfying_assignment': '{0: False, 1: True, 2: True, 3: False, 4: False, 5: False}'}",,
target_and,TargetAND_m8,8,15,44,False,1111.063003540039,0.0,2026-07-08 08:22:00,4,"{'m': 8, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False}'}",,
target_and,TargetAND_m10,10,19,56,False,1123.2151985168457,0.0,2026-07-08 08:22:01,4,"{'m': 10, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: False}'}",,
target_and,TargetAND_m12,12,23,68,False,1110.661268234253,0.0,2026-07-08 08:22:02,4,"{'m': 12, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False}'}",,
target_and,TargetAND_m14,14,27,80,False,1124.673843383789,0.0,2026-07-08 08:22:03,4,"{'m': 14, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: False, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False}'}",,
target_and,TargetAND_m16,16,31,92,False,1124.6602535247803,0.0,2026-07-08 08:22:05,5,"{'m': 16, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False}'}",,
target_and,TargetAND_m18,18,35,104,False,1097.6269245147705,0.0,2026-07-08 08:22:06,5,"{'m': 18, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False}'}",,
target_and,TargetAND_m20,20,39,116,False,1114.497184753418,0.0,2026-07-08 08:22:07,5,"{'m': 20, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False}'}",,
target_and_random,TargetAND_m10_d1,10,27,91,False,1113.7549877166748,0.0,2026-07-08 08:22:08,4,"{'m': 10, 'depth': 1, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d2,10,30,104,False,1128.798246383667,0.0,2026-07-08 08:22:09,4,"{'m': 10, 'depth': 2, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d3,10,33,117,False,1109.9839210510254,0.0,2026-07-08 08:22:10,4,"{'m': 10, 'depth': 3, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d4,10,35,127,False,1099.4000434875488,0.0,2026-07-08 08:22:11,4,"{'m': 10, 'depth': 4, 'lbv_rounds': 4}",,
